feedback_text,source
"Good case, Excellent value.",Amazon
Great for the jawbone.,Amazon
The mic is great.,Amazon
If you are Razr owner...you must have this!,Amazon
And the sound quality is great.,Amazon
He was very impressed when going from the original battery to the extended battery.,Amazon
Very good quality though,Amazon
Highly recommend for any one who has a blue tooth phone.,Amazon
So Far So Good!.,Amazon
Works great!.,Amazon
I bought this to use with my Kindle Fire and absolutely loved it!,Amazon
I have yet to run this new battery below two bars and that's three days without charging.,Amazon
Great Pocket PC / phone combination.,Amazon
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,Amazon
This product is ideal for people like me whose ears are very sensitive.,Amazon
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,Amazon
It has kept up very well.,Amazon
The case is great and works fine with the 680.,Amazon
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",Amazon
Nice headset priced right.,Amazon
Excellent bluetooth headset.,Amazon
It has all the features I want,Amazon
This case seems well made.,Amazon
good protection and does not make phone too bulky.,Amazon
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,Amazon
This phone is pretty sturdy and I've never had any large problems with it.,Amazon
I love this thing!,Amazon
Everything about it is fine and reasonable for the price i.e.,Amazon
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,Amazon
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,Amazon
"I really recommend this faceplates since it looks very nice, elegant and cool.",Amazon
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,Amazon
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,Amazon
Great for iPODs too.,Amazon
This device is great in several situations:1.),Amazon
Great choice!,Amazon
Nice docking station for home or work.,Amazon
This is a beautiful phone.,Amazon
Love this product.,Amazon
This is a great little item.,Amazon
"I love this phone , It is very handy and has a lot of features .",Amazon
I wear it everyday and it holds up very well.,Amazon
"Well packaged, arrived on time, and works as intended.",Amazon
The headsets are easy to use and everyone loves them.,Amazon
This phone works great.,Amazon
Product was excellent and works better than the verizon one and Boy was it cheaper!,Amazon
The phone loads super!,Amazon
Made very sturdy.,Amazon
Worked great!.,Amazon
Will order from them again!,Amazon
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,Amazon
Integrated seamlessly with the Motorola RAZR phone.,Amazon
Definitely a bargain.,Amazon
The price was very good and with the free shipping and all it was a good purchase.,Amazon
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",Amazon
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",Amazon
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",Amazon
This phone is slim and light and the display is beautiful.,Amazon
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,Amazon
"Great product, fast shipping!.",Amazon
Absolutely great.,Amazon
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,Amazon
It is very comfortable on the ear.,Amazon
It has been a winner for us.,Amazon
)Setup couldn't have been simpler.,Amazon
