feedback_text,source
So there is no way for me to plug it in here in the US unless I go by a converter.,Amazon
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,Amazon
I have to jiggle the plug to get it to line up right to get decent volume.,Amazon
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",Amazon
"Needless to say, I wasted my money.",Amazon
What a waste of money and time!.,Amazon
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,Amazon
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",Amazon
I advise EVERYONE DO NOT BE FOOLED!,Amazon
It clicks into place in a way that makes you wonder how long that mechanism would last.,Amazon
"I went on Motorola's website and followed all directions, but could not get it to pair again.",Amazon
The commercials are the most misleading.,Amazon
I bought it for my mother and she had a problem with the battery.,Amazon
I didn't think that the instructions provided were helpful to me.,Amazon
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,Amazon
Doesn't hold charge.,Amazon
"This is a simple little phone to use, but the breakage is unacceptible.",Amazon
It is unusable in a moving car at freeway speed.,Amazon
I have two more years left in this contract and I hate this phone.,Amazon
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,Amazon
Poor Talk Time Performance.,Amazon
worthless product.,Amazon
I was not impressed by this product.,Amazon
I only hear garbage for audio.,Amazon
Who in their right mind is gonna buy this battery?.,Amazon
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,Amazon
Disappointed with battery.,Amazon
Not loud enough and doesn't turn on like it should.,Amazon
VERY DISAPPOINTED.,Amazon
The buttons for on and off are bad.,Amazon
Essentially you can forget Microsoft's tech support.,Amazon
Buy a different phone - but not this.,Amazon
You have to hold the phone at a particular angle for the other party to hear you clearly.,Amazon
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,Amazon
"A week later after I activated it, it suddenly died.",Amazon
Mic Doesn't work.,Amazon
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",Amazon
Do Not Buy for D807...wrongly advertised for D807.,Amazon
I purchased this and within 2 days it was no longer working!!!!!!!!!,Amazon
Not a good bargain.,Amazon
The battery runs down quickly.,Amazon
"This item worked great, but it broke after 6 months of use.",Amazon
The construction of the headsets is poor.,Amazon
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",Amazon
The ear buds only play music in one ear.,Amazon
Dont waste your money...,Amazon
If you plan to use this in a car forget about it.,Amazon
I found this product to be waaay too big.,Amazon
I'm very disappointed with my decision.,Amazon
"Buyer Beware, you could flush money right down the toilet.",Amazon
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,Amazon
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",Amazon
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",Amazon
I purcashed this for the car charger and it does not work.,Amazon
i got this phone around the end of may and i'm completely unhappy with it.,Amazon
Could not get strong enough signal.,Amazon
Bad Quality.,Amazon
Basically the service was very bad.,Amazon
it did not work in my cell phone plug i am very up set with the charger!.,Amazon
The BT headset was such a disapoinment.,Amazon
Buyer--Be Very Careful!!!!!.,Amazon
The majority of the Logitech earbud headsets failed.,Amazon
In my house I was getting dropped coverage upstairs and no coverage in my basement.,Amazon
What a waste.,Amazon
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",Amazon
I was not happy with this item.,Amazon
very disappointed.,Amazon
The phone takes FOREVER to charge like 2 to 5 hours literally.,Amazon
What a waste of time!,Amazon
Its reception is very very poor.,Amazon
Items stated as included from the description ARE NOT INCLUDED.,Amazon
"After 3 months, screen just went black all of a sudden.",Amazon
I Was Hoping for More.,Amazon
"Audio Quality is poor, very poor.",Amazon
I've bought $5 wired headphones that sound better than these.,Amazon
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",Amazon
This is essentially a communications tool that does not communicate.,Amazon
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",Amazon
Doesn't work at all.. I bougth it for my L7c and its not working.,Amazon
doesn't last long.,Amazon
One thing I hate is the mode set button at the side.,Amazon
Thank you for wasting my money.,Amazon
How can that be?The audio quality is poor.,Amazon
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",Amazon
It only recognizes the Phone as its storage device.,Amazon
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Amazon
Don't buy this product.,Amazon
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,Amazon
"I have this phone and it is a thorn in my side, I really abhor it.",Amazon
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,Amazon
Design Flaw?.,Amazon
Waste of 13 bucks.,Amazon
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",Amazon
The replacement died in a few weeks.,Amazon
I have had problems wit hit dropping signal and more.,Amazon
Not impressed.,Amazon
Bad Choice.,Amazon
The pleather case doesn't fit.,Amazon
"useless phone, simply deaf.",Amazon
It makes very strange ticking noises before it ends the call.,Amazon
Battery lasts only a few hours.,Amazon
We are sending it back.,Amazon
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,Amazon
"If you hate earbugs, avoid this phone by all means.",Amazon
"I also didn't like the ""on"" button, it felt like it would crack with use.",Amazon
WORST PHONE EVER.,Amazon
Freezes frequently4.,Amazon
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,Amazon
"All in all, I'd expected a better consumer experience from Motorola.",Amazon
There's a horrible tick sound in the background on all my calls that I have never experienced before.,Amazon
I'm a bit disappointed.,Amazon
"I have had this phone for over a year now, and I will tell you, its not that great.",Amazon
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,Amazon
The battery is completely useless to me.,Amazon
What a big waste of time.,Amazon
Don't waste your $$$ on this one.,Amazon
Do not make the same mistake as me.,Amazon
Big Disappointment with calendar sync.,Amazon
the phone was unusable and was not new.,Amazon
Worst Customer Service Ever.,Amazon
"No additional ear gels provided, and no instructions whatsoever.",Amazon
It defeats the purpose of a bluetooth headset.,Amazon
Internet is excrutiatingly slow.,Amazon
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,Amazon
poor quality and service.,Amazon
"The cable looks so thin and flimsy, it is scary.",Amazon
Absolutel junk.,Amazon
THAT one didn't work either.,Amazon
Returned 8 hours later.,Amazon
Don't waste your money!.,Amazon
"Not only will it drain your player, but may also potentially fry it.",Amazon
Unreliable - I'm giving up.,Amazon
Avoid this one if you can.,Amazon
I wasted my little money with this earpiece.,Amazon
"First of all, it doesn't wear well.",Amazon
I wouldn't recommend buying this product.,Amazon
Piece of Junk.,Amazon
Poorly contstruct hinge.,Amazon
Don't buy it.,Amazon
DO NOT PURCHASE THIS PHONE.,Amazon
Customer service was terrible.,Amazon
Battery life still not long enough in Motorola Razor V3i.,Amazon
Sending it back.,Amazon
"As many people complained, I found this headset's microphone was very weak.",Amazon
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,Amazon
They do not care about the consumer one bit.,Amazon
The instruction manual is lacking.,Amazon
The battery is unreliable as well as the service use antena.,Amazon
